Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls per90,Ast per90,G+A per90,G-PK per90,G+A-PK per90,xG,npxG,xA,npxG+xA,xG per90,xA per90,xG+xA per90,npxG per90,npxG+xA per90,Passes Cmp,Att,Passes Cmp%,Passes TotDist,Passes PrgDist,KP per90,Final third per90,PPA per90,CrsPA per90,Prog per90,Live passes per90,Dead passes per90,FK passes per90,TB passes per90,under pressure passes per90,Sw passes per90,Crs passes per90,CK passes per90,Ground passes per90,Low passes per90,High passes per90,SCA Dead-balls per90,SCA Open-Play per90,Touches per90,Touches Def Pen per90,Touches Def 3rd per90,Touches Mid 3rd per90,Touches Att 3rd per90,Touches Att Pen per90,Live touches per90,Succ Dribbles per90,Att Dribbles per90,Succ Dribbles%,Players dribbled past per90,NutMegs per90,Carries per90,Carries TotDist per90,Carries PrgDist per90,Prog Carries per90,Carries to final-third per90,Carries to penalty area per90,Miss-Control per90,Dispossessed per90,Pass Targ per90,Passes Rec per90,Pass Rec%,Prog Rec-Passes per90,Tkl per90,TklW per90,Tkl Def 3rd per90,Tkl Mid 3rd per90,Tkl Att 3rd per90,Succ Tkl vs Dribbles per90,Att Tkl vs Dribbles per90,Tkl vs Dribbles%,Past per90,Press per90,Succ press per90,Succ Press %,Press Def 3rd per90,Press Mid 3rd per90,Press Att 3rd per90,Int per90,Tkl+Int per90,Clr per90,Err per90
2298,Ricardo Rodrнguez,ch SUI,DF,Torino,it Serie A,28,1992,34,28,2473,27.5,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,0.3,0.3,1.6,1.8,0.01,0.06,0.07,0.01,0.07,45.8,53.1,86.2,872.3,310.4,0.84,3.64,0.25,0.07,3.38,49.9,3.27,1.24,0,7.56,2.84,0.44,1.64,39.7,3.6,9.82,0.62,0.73,60.9,4.25,23,33.5,9.27,0.47,57.7,0.15,0.18,80,0.15,0,41.3,243.7,135.2,4.95,1.85,0.11,0.25,0.11,41.1,40.5,98.5,0.47,1.71,0.87,0.69,0.91,0.11,0.62,1.24,50,0.62,11.3,4,35.3,4.4,5.82,1.13,1.85,3.56,2.58,0.04
2299,Rodrygo,br BRA,FW,Real Madrid,es La Liga,20,2001,32,16,1459,16.2,4,4,4,0,0,4,0,0.25,0.25,0.49,0.25,0.49,4.6,4.6,1.6,6.2,0.27,0.09,0.36,0.27,0.36,34.4,41.5,82.9,438.6,100.4,1.6,1.6,1.23,0.06,2.47,39,2.53,0.19,0,6.42,0.62,1.48,1.6,33.8,4.01,3.7,0.37,3.21,55.7,0.49,5,22.8,31.9,7.41,53.2,1.67,3.89,42.9,1.91,0.12,42.8,237.4,159,9.57,2.1,2.28,2.9,1.3,56.9,43.5,76.4,7.84,1.23,0.93,0.56,0.31,0.37,0.19,1.05,17.6,0.86,18.1,4.32,23.9,4.2,7.47,6.42,1.11,2.35,0.31,0
2300,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,22,1999,21,12,1240,13.8,1,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.3,0.3,0.9,1.2,0.02,0.06,0.08,0.02,0.08,16.7,24.9,66.9,309,101.7,0.65,0.87,0.72,0.65,1.88,23.1,1.81,0,0,3.41,0.36,1.67,0,13.2,4.71,7.03,0,1.01,36.1,3.62,14.3,12.9,10.1,0.87,34.4,0.22,1.09,20,0.43,0,18.8,76.1,29.7,1.52,0.36,0.07,0.65,0.87,24.3,18.9,77.7,1.81,1.88,0.65,1.67,0.07,0.14,1.16,2.54,45.7,1.38,12.5,3.12,24.9,8.26,2.9,1.38,1.52,3.41,2.17,0
2301,Marko Rog,hr CRO,MF,Cagliari,it Serie A,26,1995,8,2,311,3.5,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,0.2,0.2,0.2,0.5,0.07,0.07,0.13,0.07,0.13,34.9,42,83,563.7,116.6,1.43,2.86,0.29,0,1.71,39.1,2.86,1.71,0,8.29,0.57,0.29,0.29,32.3,5.43,4.29,0,2.58,55.4,1.14,8.57,26.9,26,1.71,53.1,1.14,2.57,44.4,1.43,0,40.3,174.3,96.6,4.57,3.43,0.29,2.29,1.43,40.9,37.7,92.3,3.71,1.43,0.29,0.29,0.57,0.57,0.29,1.71,16.7,1.43,18.6,5.71,30.8,5.14,8,5.43,0.57,2,1.14,0
2302,Rogйrio,br BRA,DF,Sassuolo,it Serie A,23,1998,23,19,1729,19.2,0,1,0,0,0,5,0,0,0.05,0.05,0,0.05,0.4,0.4,2.2,2.5,0.02,0.11,0.13,0.02,0.13,49.2,59.3,82.9,877.1,272.2,1.35,2.55,1.35,0.83,3.18,50.8,8.54,1.41,0,7.4,2.19,2.86,1.04,39.9,10.2,9.17,0.36,2.09,69.4,4.11,22.7,33,18.7,1.04,61.4,0.47,0.99,47.4,0.63,0.16,47.2,267.9,148.9,6.46,2.45,0.42,0.83,0.94,49.1,46.4,94.5,2.08,1.09,0.68,0.57,0.31,0.21,0.36,0.89,41.2,0.52,9.11,3.23,35.4,4.69,3.18,1.25,1.77,2.86,2.03,0.1
2303,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,26,1995,19,16,1409,15.7,1,0,1,0,0,4,1,0.06,0,0.06,0.06,0.06,0.7,0.7,0.1,0.8,0.04,0.01,0.05,0.04,0.05,55.9,62.4,89.5,1138.5,359.5,0.19,3.57,0.13,0,3.82,59.4,3.06,2.1,0,4.9,0.76,0.06,0,48.4,5.1,8.92,0,0.63,70.8,7.9,34.3,37.1,3.12,1.27,67.8,0.13,0.13,100,0.13,0,45,213.6,91.3,2.17,0.32,0,0.06,0.06,51,49.2,96.6,0.32,1.59,0.89,0.89,0.7,0,0.64,0.96,66.7,0.32,9.36,3.25,34.7,4.08,4.71,0.57,1.78,3.38,3.18,0
2304,Simone Romagnoli,it ITA,DF,Empoli,it Serie A,31,1990,19,17,1497,16.6,2,0,2,0,0,3,0,0.12,0,0.12,0.12,0.12,1.4,1.4,0.3,1.6,0.08,0.02,0.1,0.08,0.1,36.7,46.5,78.9,800.8,344.9,0.3,2.89,0.48,0,2.83,42.9,3.61,2.53,0,6.27,0.42,0.18,0,28.9,5.36,12.2,0.06,0.6,57.4,12.7,34.6,24.1,2.29,0.84,53.9,0.06,0.18,33.3,0.06,0,29.2,218.5,118.2,1.14,0.3,0,0.18,0,31,30.6,98.6,0.12,1.57,0.84,0.96,0.48,0.12,0.48,0.72,66.7,0.24,10.7,3.43,32.2,6.08,3.8,0.78,1.33,2.89,5.72,0
2305,Leonardo Romбn,es ESP,GK,Mallorca,es La Liga,21,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,34.5,71,730,412,0,0.5,0,0,0,23,11.5,3.5,0,2.5,1.5,0,0,17,2,15.5,0,0,38.5,34.5,38,0.5,0,0,27,0.5,0.5,100,0.5,0,14,70,30,0,0,0,0,0,14,14,100,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0
2306,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,23,1998,22,21,1844,20.5,1,0,1,0,0,8,0,0.05,0,0.05,0.05,0.05,0.7,0.7,0.5,1.1,0.03,0.02,0.05,0.03,0.05,54.5,62.3,87.4,1073.3,346.1,0.29,2.83,0.34,0,2.54,60.3,2,1.56,0.05,7.8,1.41,0.1,0,49.2,5.32,7.8,0.05,0.73,74.8,12.6,40.8,34.9,4.29,0.88,73.1,0.44,0.68,64.3,0.49,0,50,267,151.1,3.85,1.02,0.1,0.54,0.39,51.2,49.7,97.1,0.34,3.66,2.2,2.1,1.46,0.1,1.22,2.1,58.1,0.88,15.5,5.51,35.6,9.51,4.78,1.17,2.78,6.44,3.8,0.05
2307,Ivбn Romero,es ESP,FW,Sevilla,es La Liga,20,2001,5,2,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.27,0,0.27,0.27,0.27,15,18.5,81.1,215,15.5,0,0.5,0.5,0,0.5,16.5,2,0.5,0,3,0,0,0,15,2.5,1,0,1,32,0,1,16,16.5,3.5,30.5,0.5,1.5,33.3,0.5,0,24,89.5,33,2.5,0.5,0.5,3,3.5,41.5,22,53,12,0.5,0.5,0,0.5,0,0,0,,0,26.5,7.5,28.3,1,9.5,16,1.5,2,0,0
2308,Luka Romero,ar ARG,FW,Lazio,it Serie A,16,2004,8,0,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04,36.7,38.9,94.3,645.6,44.4,1.11,1.11,1.11,1.11,0,35.6,3.33,0,0,5.56,1.11,1.11,2.22,34.4,2.22,2.22,0,1.11,54.4,0,2.22,28.9,33.3,2.22,51.1,2.22,3.33,66.7,2.22,0,43.3,393.3,181.1,11.1,4.44,0,3.33,1.11,50,40,80,4.44,3.33,2.22,0,2.22,1.11,1.11,4.44,25,3.33,32.2,7.78,24.1,7.78,17.8,6.67,2.22,5.56,0,0
2309,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16,16,1440,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,26.3,36.9,71.4,810.1,504.2,0.06,0.44,0,0,0.06,25.1,11.8,2.94,0,2,0.69,0,0,17.7,2.19,17,0.06,0.13,40.8,37.3,40.4,0.44,0,0,29.1,0,0,,0,0,17.8,79,51.3,0,0,0,0.06,0,16.4,16.3,99.2,0,0,0,0,0,0,0,0,,0,0.31,0.06,20,0.25,0.06,0,0,0,0,0
2310,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,29,1991,36,34,2889,32.1,2,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,2.8,4.1,0.04,0.09,0.13,0.04,0.13,43.5,52.5,82.8,829.5,189.4,1.09,3.89,0.78,0.06,3.89,51.4,1.12,1.06,0.12,10.8,1.81,0.22,0,36.9,4.83,10.7,0,2.08,62.2,2.71,14.8,38.3,13.2,1.68,61.3,0.75,1.12,66.7,0.75,0,39.5,191.3,99.8,4.49,1.53,0.16,0.84,0.62,41.4,39.3,95,1.25,2.52,1.68,0.72,1.46,0.34,0.72,2.4,29.9,1.68,17.6,5.95,33.9,5.64,9.63,2.31,2.09,4.61,1.62,0
2311,Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,36,1985,1,0,31,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.5,0.12,0.63,0.5,0.63,30,40,75,380,46.7,3.33,0,0,0,0,36.7,3.33,0,0,0,0,0,0,30,6.67,3.33,0,3.33,56.7,0,6.67,30,26.7,6.67,53.3,0,0,,0,0,40,243.3,110,6.67,6.67,0,0,6.67,46.7,40,85.7,10,0,0,0,0,0,0,0,,0,0,0,,0,0,0,3.33,3.33,0,0
2312,Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,36,1985,30,27,2456,27.3,18,3,15,3,3,8,0,0.66,0.11,0.77,0.55,0.66,16.5,14.2,3.1,17.3,0.61,0.11,0.72,0.52,0.64,26.3,32.5,80.9,366.1,53,0.88,1.36,0.59,0,1.79,31.4,1.14,0.07,0.07,6.41,0.33,0.44,0,25.2,4.58,2.78,0,2.6,43.4,1.17,3.63,20.1,21.6,6.67,41.9,0.7,1.32,52.8,0.77,0,28,125.8,75.2,5.16,1.25,1.28,1.61,1.43,55.4,35.3,63.8,7.99,0.37,0.29,0.07,0.18,0.11,0.15,0.26,57.1,0.11,6.67,1.79,26.9,0.84,2.82,3,0.18,0.55,1.14,0.04
2313,Salomуn Rondуn,ve VEN,FW,Everton,eng Premier League,31,1989,20,8,790,8.8,1,1,1,0,0,3,1,0.11,0.11,0.23,0.11,0.23,2.2,2.2,0.7,2.9,0.25,0.09,0.33,0.25,0.33,14.5,21.8,66.7,181.8,26.9,0.8,0.8,0.23,0,0.45,21.1,0.68,0,0,8.3,0.23,0.34,0,10.2,6.82,4.77,0,1.93,33.3,1.48,3.18,14.2,16.6,6.02,32.6,0.45,0.91,50,0.45,0,15.6,57,22.3,1.14,0.11,0.23,2.73,1.14,48.7,23.4,48,5.57,0.68,0.23,0,0.34,0.34,0.34,1.14,30,0.8,19.5,5.68,29.1,1.93,8.52,9.09,0.45,1.14,1.25,0
2314,Valentin Rongier,fr FRA,DFMF,Marseille,fr Ligue 1,26,1994,32,25,2194,24.4,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,2.6,2.6,1.1,3.6,0.1,0.04,0.15,0.1,0.15,72.7,80.4,90.4,1289,322.8,0.7,5.98,0.82,0.12,6.11,73.8,6.64,1.56,0.08,11.2,1.72,0.61,0,63.9,8.89,7.62,0.04,1.88,90.2,1.89,20.4,57.2,18.8,1.15,84.1,1.02,1.68,61,1.02,0.04,60.7,301.3,162,7.38,1.76,0.25,0.82,0.53,70.5,66.9,94.8,3.07,3.36,2.34,1.39,1.72,0.25,1.07,2.58,41.3,1.52,20,6.43,32.2,6.8,9.8,3.4,1.76,5.12,0.66,0
2315,Frederik Rшnnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,36.4,64.3,779.3,547.6,0,0.57,0,0,0,28.1,8.29,2.14,0,3.43,0,0,0,15.7,0.86,19.9,0,0,38,33,37.9,0.14,0,0,29.7,0,0,,0,0,22.9,109.3,54.4,0,0,0,0.14,0,20.9,20.6,98.6,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0
2316,Marten de Roon,nl NED,MFDF,Atalanta,it Serie A,30,1991,30,28,2548,28.3,3,0,3,0,0,7,1,0.11,0,0.11,0.11,0.11,1.6,1.6,0.6,2.3,0.06,0.02,0.08,0.06,0.08,51,59.2,86.2,1009.3,302.2,0.32,4.84,0.85,0,4.91,56.6,2.54,1.7,0.04,7.31,2.23,0,0.04,43.7,5.69,9.72,0.04,1.28,68.2,2.9,20,38.8,13.6,0.71,65.9,0.14,0.35,40,0.14,0,42.7,190.8,93.3,3.32,1.06,0.04,0.35,0.14,45.1,43.5,96.5,0.6,2.93,1.63,1.34,1.31,0.28,1.1,2.37,46.3,1.27,19.5,6.04,30.9,7,10.2,2.37,2.33,5.27,2.05,0
2317,Unai Ropero,es ESP,MF,Alavйs,es La Liga,19,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100,190,0,0,0,0,0,0,20,0,0,0,10,0,0,0,10,10,0,0,0,40,0,10,40,0,0,40,0,0,,0,0,30,90,0,0,0,0,0,10,60,30,50,10,0,0,0,0,0,0,0,,0,60,10,16.7,10,40,10,0,0,0,0
2318,Pablo Rosario,nl NED,MF,Nice,fr Ligue 1,24,1997,36,31,2729,30.3,0,2,0,0,0,7,0,0,0.07,0.07,0,0.07,1.2,1.2,1.1,2.3,0.04,0.04,0.08,0.04,0.08,50.4,57.3,88,955.4,213.8,0.69,4.59,0.53,0.13,4.55,56,1.29,1.06,0.07,9.77,0.92,0.46,0,45.1,6.24,5.94,0,1.48,66.6,2.54,13.8,45.3,10.5,0.59,65.4,0.59,0.92,64.3,0.59,0.07,43.6,176.9,94.3,4.52,0.92,0.1,0.63,0.59,50.3,48.1,95.5,1.25,2.31,1.42,0.66,1.35,0.3,0.69,1.95,35.6,1.25,16.1,5.12,31.8,4.03,8.98,3.07,1.62,3.93,1.58,0.03
2319,Romario Rцsch,de GER,MF,Mainz 05,de Bundesliga,22,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,4,2,50,0,0,0,0,0,0,0,0,,0,3,1,33.3,0,0,3,0,0,0,0
2320,Danny Rose,eng ENG,DF,Watford,eng Premier League,31,1990,8,7,689,7.7,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.8,0.9,0.02,0.1,0.12,0.02,0.12,28.7,43,66.8,602.1,345.6,0.65,3.12,0.91,0.13,4.16,28.4,14.5,2.34,0.13,3.25,1.82,1.95,1.04,15.3,11,16.6,0.13,1.3,53.1,4.42,17.9,23.4,14.5,0.52,39.6,1.17,1.95,60,1.17,0.26,22.7,108.2,66,3.25,1.04,0,0.52,0.78,24.9,22.5,90.1,0.78,2.99,1.95,1.95,1.04,0,1.56,3.77,41.4,2.21,11,4.42,40,5.71,4.68,0.65,1.95,4.94,1.69,0
2321,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,1,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,40,68.8,782.5,522.5,0,0,0,0,0,27.5,12.5,2.5,0,0,2.5,0,0,22.5,0,17.5,0,0,42.5,42.5,42.5,0,0,0,30,0,0,,0,0,27.5,145,47.5,0,0,0,0,0,25,25,100,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0
2322,Tom Rothe,de GER,DF,Dortmund,de Bundesliga,16,2004,2,1,94,1,1,0,1,0,0,1,0,0.96,0,0.96,0.96,0.96,0.2,0.2,0.1,0.2,0.16,0.07,0.23,0.16,0.23,40,55,72.7,651,251,1,2,0,0,3,44,11,2,0,8,0,5,0,36,11,8,0,1,75,4,24,31,21,3,64,1,4,25,1,1,45,129,40,2,1,0,0,0,46,41,89.1,4,5,3,3,2,0,2,4,50,2,20,10,50,8,8,4,1,6,3,0
2323,Jйrфme Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,28,1993,26,18,1775,19.7,1,0,1,0,0,5,0,0.05,0,0.05,0.05,0.05,1,1,1.3,2.4,0.05,0.07,0.12,0.05,0.12,35.3,47.2,74.9,651,250.7,0.76,2.03,0.86,0.36,3.76,38.7,8.43,0.56,0.05,4.97,0.86,2.08,0,25.7,10.7,10.8,0.05,1.42,57.9,3.2,15,30.4,15.5,1.27,49.6,1.17,2.49,46.9,1.32,0.3,34.4,159.2,88.4,4.11,1.12,0.3,1.07,1.27,39.2,34,86.5,2.99,1.47,0.81,0.76,0.66,0.05,0.41,0.96,42.1,0.56,12.3,3.91,31.8,5.38,4.77,2.13,1.22,2.69,1.68,0.05
2324,Nicolт Rovella,it ITA,MF,Genoa,it Serie A,19,2001,21,16,1468,16.3,0,3,0,0,0,5,0,0,0.18,0.18,0,0.18,0.9,0.9,2.4,3.3,0.05,0.15,0.2,0.05,0.2,46.7,58.7,79.6,966.2,241.9,1.96,3.56,0.61,0.06,3.31,49.3,9.39,4.6,0.06,10.5,4.36,1.78,4.17,39.5,4.42,14.8,1.35,1.84,69.9,2.52,15.8,39.3,19.1,0.67,60.9,1.17,1.78,65.5,1.23,0.06,44.3,245,118.5,4.48,1.29,0.12,0.61,1.29,47.4,42.2,89.1,1.72,3.07,1.66,1.47,1.17,0.43,0.74,2.33,31.6,1.6,23.6,6.99,29.7,8.16,11.2,4.23,2.02,5.09,1.29,0.06
2325,Jon Rowe,eng ENG,FWMF,Norwich City,eng Premier League,18,2003,13,0,223,2.5,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.4,0.4,0.3,0.7,0.16,0.14,0.3,0.16,0.3,20,28.4,70.4,252,84,1.6,0.8,0.8,0,1.6,27.2,1.2,0.4,0,6.4,0.8,2,0.8,24,2.4,2,0.4,2,46.4,0.8,8.8,21.6,20.8,4.4,45.2,2,4.4,45.5,2.4,0,35.6,194.8,108.8,5.2,2,0.4,0.8,4,47.6,30.4,63.9,5.2,2.8,1.2,1.2,1.2,0.4,0.4,0.4,100,0,26.8,6.4,23.9,6,11.2,9.6,1.6,4.4,0,0
2326,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,27,1994,33,33,2927,32.5,4,0,4,0,0,5,0,0.12,0,0.12,0.12,0.12,3.7,3.7,0.2,3.9,0.11,0.01,0.12,0.11,0.12,56.2,61.5,91.3,1129,357.9,0.15,2.83,0.09,0,2.28,58.5,3.02,1.69,0,5.97,1.66,0.06,0,48.7,4.8,8,0,0.52,68.6,10.2,36.2,33.5,2.55,0.92,65.8,0.12,0.15,80,0.12,0,44.3,211.3,110.5,2.49,0.34,0,0.15,0.28,49.6,49.1,98.9,0.12,1.08,0.65,0.65,0.37,0.06,0.52,0.62,85,0.09,7.32,2.74,37.4,4,2.95,0.37,1.11,2.18,2.86,0.03
2327,Ruan,br BRA,DF,Sassuolo,it Serie A,22,1999,10,0,214,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04,33.3,43.8,76.2,531.3,280.4,0.42,2.92,0,0,1.67,36.3,7.5,0.83,0,6.25,0,0,0,27.5,6.67,9.58,0,2.09,61.7,13.8,34.2,22.5,6.25,0.42,54.6,2.92,3.33,87.5,2.92,0.42,35,171.3,92.5,2.92,0.83,0,0.42,0.83,27.9,25.8,92.5,0.42,2.08,1.25,1.67,0.42,0,0.83,0.83,100,0,14.2,3.75,26.5,9.17,4.58,0.42,3.75,5.83,7.92,0.42
2328,Rubйn,es ESP,DF,Espanyol,es La Liga,20,2001,4,1,150,1.7,0,1,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0.5,0.5,0.01,0.27,0.28,0.01,0.28,27.1,41.2,65.7,468.8,126.5,0.59,0.59,0.59,0,0.59,32.9,8.24,0,0.59,7.65,1.18,2.35,0,19.4,12.4,9.41,0,0.59,52.9,2.94,20.6,25.9,11.2,0,44.7,1.76,1.76,100,1.76,0,31.8,226.5,150.6,5.29,2.94,0,2.35,0,31.8,30.6,96.3,2.35,2.35,0.59,1.18,1.18,0,1.18,2.94,40,1.76,11.2,1.76,15.8,7.06,2.94,1.18,1.18,3.53,2.94,0
2329,John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,19.3,65.5,372,254.7,0,0.67,0,0,0,9.33,10,0.67,0,2.67,0,0,0,11.3,0.67,7.33,0,0,24,23.3,24,0,0,0,14,0,0,,0,0,5.33,26,12,0,0,0,0,0,6,6,100,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0
2330,Antonio Rьdiger,de GER,DF,Chelsea,eng Premier League,28,1993,34,34,3035,33.7,3,0,3,0,0,9,0,0.09,0,0.09,0.09,0.09,2.8,2.8,1.1,3.9,0.08,0.03,0.12,0.08,0.12,64.2,72.6,88.4,1370.2,409.4,0.39,6.53,0.86,0.12,4.78,70.9,1.69,1.34,0.12,7.09,2.49,0.42,0,57.1,4.54,11,0,1.1,81.9,6.71,32.3,46.4,9.29,1.45,80.3,0.18,0.3,60,0.21,0.03,59.6,284,167.1,5.55,1.87,0.09,0.27,0.53,65.2,63.6,97.5,0.5,1.57,0.83,0.89,0.62,0.06,0.89,1.36,65.2,0.47,8.72,2.73,31.3,4.33,3.41,0.98,1.28,2.85,3.26,0.03
2331,Sebastian Rudy,de GER,MF,Hoffenheim,de Bundesliga,31,1990,21,7,773,8.6,3,1,3,0,0,5,0,0.35,0.12,0.47,0.35,0.47,2,2,0.5,2.4,0.23,0.05,0.28,0.23,0.28,35.9,48.4,74.3,656.9,204.1,0.81,3.02,0.35,0.23,4.65,45.2,3.14,0.93,0,8.6,1.16,1.05,1.05,30.9,7.33,10.1,0.23,1.52,59,2.09,13.1,32.4,16.7,1.51,56,0.23,0.23,100,0.23,0,31.2,144.2,80.3,1.74,0.93,0.12,0.7,0.81,41.9,37.7,90,3.37,2.91,1.51,0.81,1.98,0.12,0.81,2.44,33.3,1.63,19.3,6.98,36.1,5.23,10.8,3.26,1.28,4.19,2.33,0.12
2332,Daniele Rugani,it ITA,DF,Juventus,it Serie A,27,1994,12,9,879,9.8,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,50.4,55.6,90.6,1089.1,309.2,0.1,2.65,0,0,2.04,53.6,2.04,1.43,0,3.16,0.92,0,0,46.6,3.47,5.51,0,0.1,64.2,11.3,34,32.2,1.63,0.61,62.1,0,0,,0,0,42.7,180.9,90.9,1.43,0,0,0.1,0.31,47.1,46.7,99.1,0,0.92,0.71,0.41,0.51,0,0.31,0.71,42.9,0.41,10,3.27,32.7,5.71,3.88,0.41,1.63,2.55,3.98,0
2333,Matteo Ruggeri,it ITA,DF,Salernitana,it Serie A,19,2002,14,8,676,7.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.03,0.04,0.07,0.03,0.07,27.7,40.4,68.6,513.3,233.6,0.53,1.6,0.93,0.8,2.53,34,6.4,0.67,0,3.33,1.2,2.93,0,19.6,7.73,13.1,0,0.93,49.3,6.4,16.7,21.7,13.2,1.07,42.9,0.27,0.53,50,0.27,0,24.3,115.1,54.3,1.47,0.8,0,0.27,0.67,30.1,27.6,91.6,0.67,1.2,0.67,0.8,0.27,0.13,0.8,1.47,54.5,0.67,8.8,2.53,28.8,4.27,2.67,1.87,1.73,2.93,2.67,0
2334,Mбrio Rui,pt POR,DF,Napoli,it Serie A,30,1991,34,34,2992,33.2,0,5,0,0,0,7,0,0,0.15,0.15,0,0.15,1.7,1.7,3.3,5,0.05,0.1,0.15,0.05,0.15,62.4,73.9,84.4,1136.5,367.4,1.2,3.46,1.17,0.24,4.04,63.6,10.4,2.23,0.03,6.81,2.29,1.54,0.57,46.2,13.4,14.3,0.09,1.99,82.3,3.49,24.9,40.3,21.2,1.72,72.4,0.42,0.66,63.6,0.42,0.06,53.5,228.2,135.5,4.82,1.17,0.24,0.45,0.6,60.2,57.5,95.6,2.23,2.35,1.17,1.05,0.99,0.3,1.27,2.44,51.9,1.17,11.5,4.01,34.9,4.67,4.25,2.56,1.48,3.83,1.36,0
2335,Aitor Ruibal,es ESP,FWDF,Betis,es La Liga,25,1996,19,9,856,9.5,0,0,0,0,0,6,0,0,0,0,0,0,1.2,1.2,0.7,2,0.13,0.08,0.21,0.13,0.21,27.6,35.8,77.1,429.9,146.9,1.05,2.21,1.26,0.21,4,32.9,2.84,0.32,0,5.68,0.32,1.89,0,26.4,5.58,3.79,0,2.95,49.9,1.05,8.63,22.2,22.6,3.16,47.5,1.58,3.68,42.9,2.11,0.11,34.4,147.2,96.3,5.89,1.16,0.42,1.37,1.68,46.7,35.3,75.5,5.68,2.53,1.58,1.47,0.53,0.53,0.95,3.26,29,2.32,20.8,5.58,26.8,6.84,8.74,5.26,1.68,4.21,0.42,0
2336,Fabiбn Ruiz Peсa,es ESP,MF,Napoli,it Serie A,25,1996,32,29,2384,26.5,7,4,7,0,0,2,0,0.26,0.15,0.42,0.26,0.42,1.6,1.6,2.8,4.4,0.06,0.11,0.17,0.06,0.17,74.4,83,89.6,1373.9,309.2,1.36,6.91,1.36,0.15,5.55,81.1,1.89,1.74,0.11,12,3.4,0.57,0,63.7,9.36,9.96,0,2.95,92.2,2.94,20.4,55.3,22.8,1.55,90.3,0.49,0.64,76.5,0.49,0.08,63.8,289.1,155.2,5.96,2.3,0.42,0.79,0.64,77.9,74.3,95.3,3.32,2.08,1.55,0.79,1.06,0.23,1.06,2.6,40.6,1.55,17.3,5.74,33.2,5.43,7.85,4,1.62,3.7,1.09,0
